severity,confidence,category,table_name,field_name,league_id,league_name,season,description,count,denominator,rate_pct,vs_benchmark_delta_pct,vs_prev_season_delta_pct,representative_ids,downstream_risk,likely_cause,recommendation
HIGH,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2022/2023,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.2231%;唯一球员占比=10.275%(71/691)。其中首发=2;有实际出场分钟数据=0",335,15069,2.2231,,,1283242;1362354;1324368;1128603;623747;245287;1079544;1354468;41301;478110,球员名无法展示;若做球员级聚合会丢失这些球员的贡献,dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
HIGH,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,53,Ligue1,2022/2023,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=2.2497%;唯一球员占比=10.4197%(72/691)。其中首发=2;有实际出场分钟数据=0",339,15069,2.2497,,,1283242;1362354;1324368;1128603;623747;245287;1079544;1354468;41301;478110,球员名无法展示;若做球员级聚合会丢失这些球员的贡献,dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
HIGH,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,87,LaLiga,2020/2021,"[core] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=3.247%;唯一球员占比=12.6781%(89/702)。其中首发=2;有实际出场分钟数据=0",538,16569,3.247,,,698655;1185147;937551;1185153;929381;1050828;1119163;789877;1165205;1163228,球员名无法展示;若做球员级聚合会丢失这些球员的贡献,dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
HIGH,HIGH,fact.orphan_player_id,fact_match_lineup,Player_ID,87,LaLiga,2020/2021,"[verify] fact_match_lineup 存在无法连接 dim_player 的孤儿 Player_ID(源数据既有缺陷,非本轮合并引入)。行占比=3.247%;唯一球员占比=12.6781%(89/702)。其中首发=2;有实际出场分钟数据=0",538,16569,3.247,,,698655;1185147;937551;1185153;929381;1050828;1119163;789877;1165205;1163228,球员名无法展示;若做球员级聚合会丢失这些球员的贡献,dim_player 落库时机早于/漏于 fact 表,"补写缺失的 dim_player 行(需要来源真实姓名,不得编造)"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,47,EPL,2020/2021,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,47,EPL,2021/2022,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,47,EPL,2022/2023,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,47,EPL,2023/2024,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,47,EPL,2024/2025,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,47,EPL,2025/2026,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,53,Ligue1,2020/2021,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,53,Ligue1,2021/2022,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,53,Ligue1,2022/2023,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,53,Ligue1,2023/2024,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,53,Ligue1,2024/2025,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,53,Ligue1,2025/2026,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,54,Bundesliga,2020/2021,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,54,Bundesliga,2021/2022,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,54,Bundesliga,2022/2023,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,54,Bundesliga,2023/2024,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,54,Bundesliga,2024/2025,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,54,Bundesliga,2025/2026,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,306,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
LOW,HIGH,dim_match.kickoff_provenance_note,dim_match,kickoff_at_utc,55,SerieA,2020/2021,"[core] 精确开球时刻覆盖率(时间元数据限制,非比赛数据错误——历史数据入库早于 kickoff 精确化改造)",0,380,0.0,,,,"不影响比分/统计类模型特征,只影响需要精确赛前 cutoff 的场景",历史批次入库时未采集精确 kickoff,"如需精确 kickoff 用于赛前特征,需按 CLAUDE.md §6.2.1 重新采集"
