league_id,league_name,season,feature_family,completed_match_count,covered_match_count,match_coverage_rate_pct,applicable_record_count,non_null_record_count,applicable_record_coverage_rate_pct,required_field_count,optional_field_count,minimum_required_field_coverage_pct,critical_anomaly_count,high_anomaly_count,readiness,reason
47,EPL,2020/2021,context,380,,,25840,17480,67.6471,0,34,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 67.6% 参考,建议按字段精细过滤"
47,EPL,2020/2021,defensive_duel_passing,380,380,100.0,211816,185155,87.4131,18,4,74.6884,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 74.7%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2020/2021,goalkeeper_advanced,380,380,100.0,9180,6891,75.0654,9,3,97.5163,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 97.5%)
47,EPL,2020/2021,physical,380,0,0.0,62358,0,0.0,0,6,,0,0,NOT_READY,"全量 0.0% 覆盖(已用真实数据确认);成因 UNVERIFIED——疑似解析器 camelCase key 未做下划线别名,未证实为来源从不提供,本轮未修改 backend/fotmob_client.py,建议后续单独做 payload→parser 字段映射审计"
47,EPL,2020/2021,player_attacking_xg_xa,380,380,100.0,38512,24856,64.5409,0,4,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 64.5% 参考,建议按字段精细过滤"
47,EPL,2020/2021,shot_xg,380,380,100.0,152766,102015,66.7786,15,8,99.4737,0,0,READY,全部 15 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 99.5%)
47,EPL,2020/2021,standard_match,380,380,100.0,225671,192289,85.2077,18,14,81.4246,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 81.4%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2021/2022,context,380,,,25840,17480,67.6471,0,34,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 67.6% 参考,建议按字段精细过滤"
47,EPL,2021/2022,defensive_duel_passing,380,380,100.0,213884,186631,87.258,18,4,73.9045,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 73.9%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2021/2022,goalkeeper_advanced,380,380,100.0,9156,6865,74.9782,9,3,97.1166,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 97.1%)
47,EPL,2021/2022,physical,380,0,0.0,62910,0,0.0,0,6,,0,0,NOT_READY,"全量 0.0% 覆盖(已用真实数据确认);成因 UNVERIFIED——疑似解析器 camelCase key 未做下划线别名,未证实为来源从不提供,本轮未修改 backend/fotmob_client.py,建议后续单独做 payload→parser 字段映射审计"
47,EPL,2021/2022,player_attacking_xg_xa,380,380,100.0,38888,25516,65.6141,0,4,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 65.6% 参考,建议按字段精细过滤"
47,EPL,2021/2022,shot_xg,380,380,100.0,157720,106766,67.6934,15,8,99.6728,0,0,READY,全部 15 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 99.7%)
47,EPL,2021/2022,standard_match,380,380,100.0,232585,198239,85.2329,18,14,72.6092,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 72.6%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2022/2023,context,380,,,25840,17480,67.6471,0,34,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 67.6% 参考,建议按字段精细过滤"
47,EPL,2022/2023,defensive_duel_passing,380,380,100.0,232650,200620,86.2325,18,4,69.8061,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 69.8%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2022/2023,goalkeeper_advanced,380,380,100.0,9240,6941,75.119,9,3,96.6234,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 96.6%)
47,EPL,2022/2023,physical,380,0,0.0,68070,0,0.0,0,6,,0,0,NOT_READY,"全量 0.0% 覆盖(已用真实数据确认);成因 UNVERIFIED——疑似解析器 camelCase key 未做下划线别名,未证实为来源从不提供,本轮未修改 backend/fotmob_client.py,建议后续单独做 payload→parser 字段映射审计"
47,EPL,2022/2023,player_attacking_xg_xa,380,380,100.0,42300,26402,62.4161,0,4,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 62.4% 参考,建议按字段精细过滤"
47,EPL,2022/2023,shot_xg,380,380,100.0,163600,106993,65.3991,15,8,97.8947,0,0,READY,全部 15 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 97.9%)
47,EPL,2022/2023,standard_match,380,380,100.0,244319,207336,84.8628,18,14,66.8489,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 66.8%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2023/2024,context,380,,,25840,17480,67.6471,0,34,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 67.6% 参考,建议按字段精细过滤"
47,EPL,2023/2024,defensive_duel_passing,380,380,100.0,233288,201399,86.3306,18,4,68.7382,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 68.7%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2023/2024,goalkeeper_advanced,380,380,100.0,9312,6996,75.1289,9,3,98.7113,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 98.7%)
47,EPL,2023/2024,physical,380,0,0.0,68280,0,0.0,0,6,,0,0,NOT_READY,"全量 0.0% 覆盖(已用真实数据确认);成因 UNVERIFIED——疑似解析器 camelCase key 未做下划线别名,未证实为来源从不提供,本轮未修改 backend/fotmob_client.py,建议后续单独做 payload→parser 字段映射审计"
47,EPL,2023/2024,player_attacking_xg_xa,380,380,100.0,42416,27478,64.7822,0,4,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 64.8% 参考,建议按字段精细过滤"
47,EPL,2023/2024,shot_xg,380,380,100.0,170690,115005,67.3765,15,8,99.2105,0,0,READY,全部 15 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 99.2%)
47,EPL,2023/2024,standard_match,380,380,100.0,246589,213606,86.6243,18,14,85.0329,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 85.0%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2024/2025,context,380,,,26600,18370,69.0602,0,35,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 69.1% 参考,建议按字段精细过滤"
47,EPL,2024/2025,defensive_duel_passing,380,380,100.0,237534,204820,86.2277,18,4,66.9538,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 67.0%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2024/2025,goalkeeper_advanced,380,380,100.0,9240,7588,82.1212,9,3,96.8831,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 96.9%)
47,EPL,2024/2025,physical,380,0,0.0,69402,0,0.0,0,6,,0,0,NOT_READY,"全量 0.0% 覆盖(已用真实数据确认);成因 UNVERIFIED——疑似解析器 camelCase key 未做下划线别名,未证实为来源从不提供,本轮未修改 backend/fotmob_client.py,建议后续单独做 payload→parser 字段映射审计"
47,EPL,2024/2025,player_attacking_xg_xa,380,380,100.0,43188,27285,63.1773,0,4,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 63.2% 参考,建议按字段精细过滤"
47,EPL,2024/2025,shot_xg,380,380,100.0,167205,112640,67.3664,15,8,99.7066,0,0,READY,全部 15 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 99.7%)
47,EPL,2024/2025,standard_match,380,380,100.0,248289,222634,89.6673,18,14,91.2164,0,0,READY,全部 18 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 91.2%)
47,EPL,2025/2026,context,380,,,26600,18240,68.5714,0,35,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 68.6% 参考,建议按字段精细过滤"
47,EPL,2025/2026,defensive_duel_passing,380,380,100.0,235950,203842,86.392,18,4,67.1515,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 67.2%,处于中等区间,建议按字段/赛季过滤后使用"
47,EPL,2025/2026,goalkeeper_advanced,380,380,100.0,9204,7644,83.0508,9,3,97.5228,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 97.5%)
47,EPL,2025/2026,physical,380,0,0.0,68952,0,0.0,0,6,,0,0,NOT_READY,"全量 0.0% 覆盖(已用真实数据确认);成因 UNVERIFIED——疑似解析器 camelCase key 未做下划线别名,未证实为来源从不提供,本轮未修改 backend/fotmob_client.py,建议后续单独做 payload→parser 字段映射审计"
47,EPL,2025/2026,player_attacking_xg_xa,380,380,100.0,42900,27262,63.5478,0,4,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 63.5% 参考,建议按字段精细过滤"
47,EPL,2025/2026,shot_xg,380,380,100.0,163944,109824,66.9887,15,8,99.6542,0,0,READY,全部 15 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 99.7%)
47,EPL,2025/2026,standard_match,380,380,100.0,246407,221561,89.9167,18,14,91.2026,0,0,READY,全部 18 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 91.2%)
53,Ligue1,2020/2021,context,380,,,25840,17480,67.6471,0,34,,0,0,READY_WITH_FILTERS,"该 family 无 REQUIRED 字段可下钻,以整体字段均值 67.6% 参考,建议按字段精细过滤"
53,Ligue1,2020/2021,defensive_duel_passing,380,380,100.0,236060,204500,86.6305,18,4,72.1808,0,0,READY_WITH_FILTERS,"REQUIRED 字段最低覆盖率 72.2%,处于中等区间,建议按字段/赛季过滤后使用"
53,Ligue1,2020/2021,goalkeeper_advanced,380,380,100.0,9216,6908,74.9566,9,3,96.6146,0,0,READY,全部 9 个 REQUIRED 字段覆盖率均 >= 90.0%(最低 96.6%)
