table_name,league_id,league_name,season,classification,verify_row_count,allwin_row_count,match_ids_only_in_verify,match_ids_only_in_allwin,common_match_ids,row_count_delta,mismatch_row_count,mismatch_types,notes,representative_ids
dim_match,53,Ligue1,2020/2021,EXACT,380,380,0,0,380,0,0,,,
dim_match,53,Ligue1,2021/2022,EXACT,380,380,0,0,380,0,0,,,
dim_match,53,Ligue1,2022/2023,EXACT,380,380,0,0,380,0,0,,,
dim_match,53,Ligue1,2023/2024,EXACT,306,306,0,0,306,0,0,,,
dim_match,53,Ligue1,2024/2025,EXACT,306,306,0,0,306,0,0,,,
dim_match,53,Ligue1,2025/2026,EXACT,306,306,0,0,306,0,0,,,
dim_match,54,Bundesliga,2020/2021,EXACT,306,306,0,0,306,0,0,,,
dim_match,54,Bundesliga,2021/2022,EXACT,306,306,0,0,306,0,0,,,
dim_match,54,Bundesliga,2022/2023,EXACT,306,306,0,0,306,0,0,,,
dim_match,54,Bundesliga,2023/2024,EXACT,306,306,0,0,306,0,0,,,
dim_match,54,Bundesliga,2024/2025,EXACT,306,306,0,0,306,0,0,,,
dim_match,54,Bundesliga,2025/2026,EXACT,306,306,0,0,306,0,0,,,
dim_match,55,SerieA,2020/2021,EXACT,380,380,0,0,380,0,0,,,
dim_match,55,SerieA,2021/2022,EXACT,380,380,0,0,380,0,0,,,
dim_match,55,SerieA,2022/2023,EXACT,381,381,0,0,381,0,0,,,
dim_match,55,SerieA,2023/2024,EXACT,380,380,0,0,380,0,0,,,
dim_match,55,SerieA,2024/2025,EXACT,380,380,0,0,380,0,0,,,
dim_match,55,SerieA,2025/2026,EXACT,380,380,0,0,380,0,0,,,
dim_match,87,LaLiga,2020/2021,EXACT,380,380,0,0,380,0,0,,,
dim_match,87,LaLiga,2021/2022,EXACT,380,380,0,0,380,0,0,,,
dim_match,87,LaLiga,2022/2023,EXACT,380,380,0,0,380,0,0,,,
dim_match,87,LaLiga,2023/2024,EXACT,380,380,0,0,380,0,0,,,
dim_match,87,LaLiga,2024/2025,EXACT,380,380,0,0,380,0,0,,,
dim_match,87,LaLiga,2025/2026,EXACT,380,380,0,0,380,0,0,,,
dim_player,53,Ligue1,2020/2021,CONTENT_MISMATCH,605,606,0,0,605,4,4,ACCENT_NORMALIZATION_ONLY:3;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=79;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 3, 'TRULY_DIFFERENT_NAME': 1}",1049999:ACCENT_NORMALIZATION_ONLY;1197030:ACCENT_NORMALIZATION_ONLY;448897:ACCENT_NORMALIZATION_ONLY;793255:TRULY_DIFFERENT_NAME
dim_player,53,Ligue1,2021/2022,CONTENT_MISMATCH,636,636,0,0,636,3,3,ACCENT_NORMALIZATION_ONLY:3,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=78;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 3},1049999:ACCENT_NORMALIZATION_ONLY;1197030:ACCENT_NORMALIZATION_ONLY;448897:ACCENT_NORMALIZATION_ONLY
dim_player,53,Ligue1,2022/2023,CONTENT_MISMATCH,622,623,0,0,622,3,3,ACCENT_NORMALIZATION_ONLY:2;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=72;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 2, 'TRULY_DIFFERENT_NAME': 1}",1049999:ACCENT_NORMALIZATION_ONLY;1197030:ACCENT_NORMALIZATION_ONLY;1460534:TRULY_DIFFERENT_NAME
dim_player,53,Ligue1,2023/2024,CONTENT_MISMATCH,574,574,0,0,574,3,3,ACCENT_NORMALIZATION_ONLY:2;TRULY_DIFFERENT_NAME:1,"orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=59;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 2, 'TRULY_DIFFERENT_NAME': 1}",1049999:ACCENT_NORMALIZATION_ONLY;1197030:ACCENT_NORMALIZATION_ONLY;1460534:TRULY_DIFFERENT_NAME
dim_player,53,Ligue1,2024/2025,EXACT,589,589,0,0,589,0,0,,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=62;name_blank_in_allwin=0;name_diff_breakdown={},1074982;1172163;1210649;1270037;1274032;1291293;1347785;1356327;1400913;1426808
dim_player,53,Ligue1,2025/2026,CONTENT_MISMATCH,575,575,0,0,575,1,1,ACCENT_NORMALIZATION_ONLY:1,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=91;name_blank_in_allwin=0;name_diff_breakdown={'ACCENT_NORMALIZATION_ONLY': 1},637746:ACCENT_NORMALIZATION_ONLY
dim_player,54,Bundesliga,2020/2021,CONTENT_MISMATCH,522,522,0,0,522,1,1,TRULY_DIFFERENT_NAME:1,orphan_in_verify_source(fact引用但连verify自己dim_player都没有)=43;name_blank_in_allwin=0;name_diff_breakdown={'TRULY_DIFFERENT_NAME': 1},1072864:TRULY_DIFFERENT_NAME
